bgp2000gj,bg2010gj,bg2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G39000305128210884010200R1,G39000300102001,390030102001,1.0,1.0,1.0,1.0
G39000305128299999010200R1,G39000300102001,390030102001,1.0,1.0,1.0,1.0
G39000305128299999010200R3,G39000300102003,390030102003,1.0,1.0,1.0,1.0
G39000305128299999010200R4,G39000300102004,390030102004,1.0,1.0,1.0,1.0
G39000306174299999011600R1,G39000300113005,390030113005,0.0,0.0,0.0,0.0
G39000306174299999011600R1,G39000300116001,390030116001,1.0,1.0,1.0,1.0
G39000306174299999011600R2,G39000300116002,390030116002,1.0,1.0,1.0,1.0
G39000306174299999011600R3,G39000300116003,390030116003,1.0,1.0,1.0,1.0
G39000306174299999011600U1,G39000300116001,390030116001,1.0,1.0,1.0,1.0
G39000306174299999013700U1,G39000300137001,390030137001,1.0,1.0,1.0,1.0
G39000306174299999013800U2,G39000300138002,390030138002,1.0,1.0,1.0,1.0
G39000306174299999013800U3,G39000300116001,390030116001,0.0,0.0,0.0,0.0
G39000306174299999013800U3,G39000300116002,390030116002,0.0,0.0,0.0,0.0
G39000306174299999013800U3,G39000300138003,390030138003,1.0,1.0,1.0,1.0
G39000306661404752010200R4,G39000300102004,390030102004,1.0,1.0,1.0,1.0
G39000306661407426010100R1,G39000300101001,390030101001,1.0,1.0,1.0,1.0
G39000306661407426010100R2,G39000300101002,390030101002,1.0,1.0,1.0,1.0
G39000306661407426010100R3,G39000300101003,390030101003,0.0,0.0,0.0,0.0
G39000306661407426010100U1,G39000300101001,390030101001,1.0,1.0,1.0,1.0
G39000306661407426010100U2,G39000300101002,390030101002,1.0,1.0,1.0,1.0
G39000306661407426010100U3,G39000300101003,390030101003,1.0,1.0,1.0,1.0
G39000306661499999010100R1,G39000300101001,390030101001,1.0,1.0,1.0,1.0
G39000306661499999010100R2,G39000300101002,390030101002,1.0,1.0,1.0,1.0
G39000306661499999010100R3,G39000300101003,390030101003,1.0,1.0,1.0,1.0
G39000306661499999010100U1,G39000300101001,390030101001,1.0,1.0,1.0,1.0
G39000306661499999010200R4,G39000300102004,390030102004,1.0,1.0,1.0,1.0
G39000306661499999010200R5,G39000300102002,390030102002,1.0,1.0,1.0,1.0
G39000307195527944011800U1,G39000300118001,390030118001,1.0,1.0,1.0,1.0
G39000307195527944011900R1,G39000300119001,390030119001,1.0,1.0,1.0,1.0
G39000307195527944011900R3,G39000300119003,390030119003,1.0,1.0,1.0,1.0
G39000307195527944011900R9,G39000300119004,390030119004,1.0,1.0,1.0,1.0
G39000307195527944011900U1,G39000300119001,390030119001,1.0,1.0,1.0,1.0
G39000307195527944011900U2,G39000300119002,390030119002,1.0,1.0,1.0,1.0
G39000307195527944011900U3,G39000300119003,390030119003,1.0,1.0,1.0,1.0
G39000307195527944011900U9,G39000300119004,390030119004,1.0,1.0,1.0,1.0
G39000307195527944012000U4,G39000300120002,390030120002,1.0,1.0,1.0,1.0
G39000307195527944012100U1,G39000300121001,390030121001,1.0,1.0,1.0,1.0
G39000307195599999010800R7,G39000300108006,390030108006,1.0,1.0,1.0,1.0
G39000307195599999010800U7,G39000300108006,390030108006,1.0,1.0,1.0,1.0
G39000307195599999010900U3,G39000300109003,390030109003,1.0,1.0,1.0,1.0
G39000307195599999011800U1,G39000300118001,390030118001,1.0,1.0,1.0,1.0
G39000307195599999011800U2,G39000300118002,390030118002,1.0,1.0,1.0,1.0
G39000307195599999011900U1,G39000300119001,390030119001,1.0,1.0,1.0,1.0
G39000307195599999011900U3,G39000300119003,390030119003,1.0,1.0,1.0,1.0
G39000307195599999012000U3,G39000300120001,390030120001,1.0,1.0,1.0,1.0
G39000307195599999012000U4,G39000300120002,390030120002,1.0,1.0,1.0,1.0
G39000307195599999012100R1,G39000300121001,390030121001,1.0,1.0,1.0,1.0
G39000307195599999012100R2,G39000300121002,390030121002,1.0,1.0,1.0,1.0
G39000307195599999012100U1,G39000300121001,390030121001,1.0,1.0,1.0,1.0
G39000307195599999012100U2,G39000300121002,390030121002,1.0,1.0,1.0,1.0
G39000307398274034010600R1,G39000300106001,390030106001,1.0,1.0,1.0,1.0
G39000307398274034010600R3,G39000300106003,390030106003,1.0,1.0,1.0,1.0
G39000307398274034010600R4,G39000300106004,390030106004,1.0,1.0,1.0,1.0
G39000307398299999010600R1,G39000300106001,390030106001,1.0,1.0,1.0,1.0
G39000307398299999010600R2,G39000300106002,390030106002,1.0,1.0,1.0,1.0
G39000307398299999010600R3,G39000300106003,390030106003,1.0,1.0,1.0,1.0
G39000307398299999010600R4,G39000300106004,390030106004,1.0,1.0,1.0,1.0
G39000307519999999010300R1,G39000300103001,390030103001,1.0,1.0,1.0,1.0
G39000307519999999010300R2,G39000300103002,390030103002,1.0,1.0,1.0,1.0
G39000307519999999010800U1,G39000300108001,390030108001,1.0,1.0,1.0,1.0
G39000500256802568970200R4,G39000509702004,390059702004,1.0,0.0,1.0,1.0
G39000500256802568970300R1,G39000509703001,390059703001,1.0,1.0,1.0,1.0
G39000500256802568970300U1,G39000509703001,390059703001,1.0,1.0,1.0,1.0
G39000500256802568970300U2,G39000509703002,390059703002,1.0,1.0,1.0,1.0
G39000500256802568970300U3,G39000509703003,390059703003,1.0,1.0,1.0,1.0
G39000500256802568970300U4,G39000509703004,390059703004,1.0,1.0,1.0,1.0
G39000500256802568970400R1,G39000509704001,390059704001,1.0,1.0,1.0,1.0
G39000500256802568970400U1,G39000509704001,390059704001,1.0,1.0,1.0,1.0
G39000500256802568970400U2,G39000509704002,390059704002,1.0,1.0,1.0,1.0
G39000500256802568970400U3,G39000509704003,390059704003,1.0,1.0,1.0,1.0
G39000500256802568970400U4,G39000509704004,390059704004,1.0,1.0,1.0,1.0
G39000500256802568970500U1,G39000509705001,390059705001,1.0,1.0,1.0,1.0
G39000500256802568970500U2,G39000509705002,390059705002,1.0,1.0,1.0,1.0
G39000500256802568970500U3,G39000509705003,390059705003,1.0,1.0,1.0,1.0
G39000500256802568970500U4,G39000509705004,390059705004,1.0,1.0,1.0,1.0
G39000500256802568970600R2,G39000509706002,390059706002,0.0,0.0,0.0,0.0
G39000500256802568970600R4,G39000509706004,390059706004,0.0,0.0,0.0,0.0
G39000500256802568970600U1,G39000509706001,390059706001,1.0,1.0,1.0,1.0
G39000500256802568970600U2,G39000509706002,390059706002,1.0,1.0,1.0,1.0
G39000500256802568970600U3,G39000509706003,390059706003,1.0,1.0,1.0,1.0
G39000500256802568970600U4,G39000509706004,390059706004,1.0,1.0,1.0,1.0
G39000500256802568970700R2,G39000509707002,390059707002,1.0,1.0,1.0,1.0
G39000500256802568970700R4,G39000509707004,390059707004,1.0,1.0,1.0,1.0
G39000500256802568970700U1,G39000509707001,390059707001,1.0,1.0,1.0,1.0
G39000500256802568970700U2,G39000509707002,390059707002,1.0,1.0,1.0,1.0
G39000500256802568970700U3,G39000509707003,390059707003,1.0,1.0,1.0,1.0
G39000500256802568970700U4,G39000509707004,390059707004,0.0,0.0,0.0,0.0
G39000500256802568970800R4,G39000509708004,390059708004,1.0,1.0,1.0,1.0
G39000500256802568970800U1,G39000509708001,390059708001,1.0,1.0,1.0,1.0
G39000500256802568970800U2,G39000509708002,390059708002,1.0,1.0,1.0,1.0
G39000500256802568970800U3,G39000509708003,390059708003,1.0,1.0,1.0,1.0
G39000501567203562970200R4,G39000509702004,390059702004,1.0,1.0,1.0,1.0
G39000501567270576970200R2,G39000509702002,390059702002,1.0,1.0,1.0,1.0
G39000501567270576970200R4,G39000509702004,390059702004,1.0,1.0,1.0,1.0
G39000501567299999970200R2,G39000509702002,390059702002,1.0,1.0,1.0,1.0
G39000501567299999970200R3,G39000509702003,390059702003,1.0,1.0,1.0,1.0
G39000501567299999970200R4,G39000509702004,390059702004,1.0,1.0,1.0,1.0
G39000503168245066971100R1,G39000509711001,390059711001,1.0,1.0,1.0,1.0
G39000503168245066971100R3,G39000509711003,390059711003,0.0,0.0,0.0,0.0
G39000503168245066971100U1,G39000509711001,390059711001,1.0,1.0,1.0,1.0
G39000503168245066971100U2,G39000509711002,390059711002,1.0,1.0,1.0,1.0
G39000503168245066971100U3,G39000509711003,390059711003,1.0,1.0,1.0,1.0
G39000503168262190971000R3,G39000509710003,390059710003,1.0,1.0,1.0,1.0
G39000503168262190971000R4,G39000509710004,390059710004,1.0,1.0,1.0,1.0
G39000503168299999970900R4,G39000509709004,390059709004,1.0,1.0,1.0,1.0
G39000503168299999971000R3,G39000509710003,390059710003,1.0,1.0,1.0,1.0
G39000503168299999971000R4,G39000509710004,390059710004,1.0,1.0,1.0,1.0
G39000503168299999971100R1,G39000509711001,390059711001,1.0,1.0,1.0,1.0
G39000503323645066971100R3,G39000509711003,390059711003,1.0,0.0,1.0,1.0
G39000503323645066971100R4,G39000509711004,390059711004,1.0,1.0,1.0,1.0
G39000503323645066971100U1,G39000509711001,390059711001,1.0,1.0,1.0,1.0
G39000503323645066971100U2,G39000509711002,390059711002,1.0,1.0,1.0,1.0
G39000503323645066971100U3,G39000509711003,390059711003,1.0,1.0,1.0,1.0
G39000503323645066971100U4,G39000509711004,390059711004,1.0,1.0,1.0,1.0
G39000503323699999971000R4,G39000509710004,390059710004,1.0,1.0,1.0,1.0
G39000503323699999971100R1,G39000509711001,390059711001,1.0,1.0,1.0,1.0
G39000503323699999971100R3,G39000509711003,390059711003,1.0,1.0,1.0,1.0
G39000503323699999971100R4,G39000509711004,390059711004,1.0,1.0,1.0,1.0
