region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi
394312,62,"Albuquerque, NM","msa","NM","2023.02.28",.0244493,.0283387,590,36,.5002136,.2374079,.9963267,311800,356929,35,609,576,1621,1535.982,312378.7
394312,62,"Albuquerque, NM","msa","NM","2018.12.31",.0229798,.0263165,842,37,.6848245,.1011181,.982455,201359,241833,63,756,827,4007,1030.836,198510.6
394312,62,"Albuquerque, NM","msa","NM","2019.10.31",.0233471,.0269662,1045,40,.5796817,.1704474,.9900458,215514,255767,43,1038,1182,3801,1075.622,211643
394312,62,"Albuquerque, NM","msa","NM","2022.09.30",.0272608,.0311068,924,35,.3528612,.4013809,1.000055,317174,358000,21,930,1080,2299,1474.754,314799
394312,62,"Albuquerque, NM","msa","NM","2019.02.28",.0221815,.0257764,704,38,.6944369,.1018196,.9828829,205191,246333,69,787,798,3459,1038.04,201111
394312,62,"Albuquerque, NM","msa","NM","2019.06.30",.0236874,.0265348,1154,39,.5363161,.1792769,.9932358,216968,253761,42,1235,1432,3867,1054.832,207851
394312,62,"Albuquerque, NM","msa","NM","2022.11.30",.0260744,.0290239,693,36,.4544578,.2892078,1,317675,353000,26,706,795,2088,1504.4,313002.3
394312,62,"Albuquerque, NM","msa","NM","2021.07.31",.0312465,.0358046,1355,40,.2277644,.563364,1.010102,275175,303000,12,1303,1457,2341,1290.205,270588
394312,62,"Albuquerque, NM","msa","NM","2022.02.28",.0310804,.0349039,732,40,.2907036,.4739998,1.000575,303037,324667,18,778,754,1399,1412.527,291492.4
394312,62,"Albuquerque, NM","msa","NM","2019.08.31",.0235691,.0266564,1265,39,.5503064,.1806882,.9916745,215838,253300,41,1178,1374,3956,1065.534,209737
394312,62,"Albuquerque, NM","msa","NM","2021.12.31",.0293726,.0330155,1030,40,.3178599,.4436174,1,290842,323000,19,908,872,1802,1381.175,281886.6
394312,62,"Albuquerque, NM","msa","NM","2018.11.30",.0239032,.0268241,909,38,.6584923,.1069143,.9839935,198011,240133,57,777,993,4321,1024.145,197927.5
394312,62,"Albuquerque, NM","msa","NM","2023.04.30",.0233331,.0276161,652,35,.4176894,.3188151,.9979315,320929,373000,27,702,737,1565,1552.712,316389.4
394312,62,"Albuquerque, NM","msa","NM","2022.03.31",.0320109,.0367186,1043,39,.2571762,.5309554,1.006635,306766,330000,15,869,891,1457,1419.855,297928.4
394312,62,"Albuquerque, NM","msa","NM","2022.10.31",.0263131,.029634,795,36,.4225096,.3281743,1,318048,356333,24,850,939,2229,1486.555,313743.2
394312,62,"Albuquerque, NM","msa","NM","2018.09.30",.0233786,.0263769,976,39,.6326827,.1170823,.9859871,200426,243200,49,882,1261,4644,1017.452,196619.5
394312,62,"Albuquerque, NM","msa","NM","2021.05.31",,.03388,1193,40,.2725641,.4976963,1.00218,264977,301333,14,1219,1299,2041,1247.504,262483.4
394312,62,"Albuquerque, NM","msa","NM","2020.10.31",.0239076,.0285839,1312,43,.3770779,.342544,1,246397,278300,25,1240,1271,2640,1144.645,235021.8
394312,62,"Albuquerque, NM","msa","NM","2021.06.30",.0297401,.034607,1348,40,.2400703,.5455979,1.006605,271141,303000,13,1258,1385,2164,1269.209,266877.9
394312,62,"Albuquerque, NM","msa","NM","2018.08.31",.0231512,.0264303,1175,39,.6197618,.1291497,.986744,202666,246567,45,958,1397,4680,1015.223,195591.3
394312,62,"Albuquerque, NM","msa","NM","2019.07.31",.0239051,.0268695,1247,39,.5407634,.1805034,.9926968,217111,253761,41,1214,1417,3934,1061.787,208831.4
394312,62,"Albuquerque, NM","msa","NM","2020.11.30",.0243249,.0284048,1172,44,.3687303,.3515063,1,246553,278300,24,1101,1129,2470,1158.36,238579.8
