,region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi,year,state,est_num_sold_below_list
91,753899,2,"Los Angeles, CA",msa,CA,2018-08-31,0.02555485434,0.02957003142,9674.0,34.0,0.4445467387,0.4217975124,1.0,631303,742967.0,36.0,8132.0,10832,29874,2309.102127,655048.5498,2018,7,4300.5451501838
92,753906,73,"North Port, FL",msa,FL,2018-08-31,0.02578767935,0.02974131972,1961.0,45.0,0.8134499998,0.07246092273,0.9684122976,252883,338267.0,76.0,737.0,1730,8388,1489.815271,271841.8954,2018,14,1595.1754496078
93,753924,55,"Urban Honolulu, HI",msa,HI,2018-08-31,0.02641053313,0.032059772,989.0,,,,,566190,649733.0,,,1043,4535,2232.146957,668276.6538,2018,39,
95,394304,83,"Akron, OH",msa,OH,2018-09-30,0.03669387933,0.04369448677,690.0,26.0,0.5902996009,0.2410032622,0.985604408,143118,162600.0,56.0,720.0,1074,3918,842.4360568,143748.1066,2018,1,407.306724621
96,394308,64,"Albany, NY",msa,NY,2018-09-30,0.03523383883,0.04144937759,654.0,57.0,0.5354504236,0.3593250246,0.9932159985,191026,226333.0,53.0,579.0,780,3278,1204.567507,225120.2421,2018,2,350.1845770344
97,394312,62,"Albuquerque, NM",msa,NM,2018-09-30,0.02337858745,0.02637686509,976.0,39.0,0.6326827295,0.1170822521,0.9859870769,200426,243200.0,49.0,882.0,1261,4644,1017.452351,196619.4956,2018,3,617.4983439920001
98,394318,70,"Allentown, PA",msa,PA,2018-09-30,0.03459926773,0.04057962929,918.0,48.0,0.6277801004,0.1818525917,0.9836388766,185339,217633.0,71.0,84.0,1275,4550,1255.9683,205533.3934,2018,4,576.3021321671999
99,394347,9,"Atlanta, GA",msa,GA,2018-09-30,0.02461899458,0.02858619844,8041.0,33.0,0.5574785349,0.2245445644,0.9914276234,224876,288667.0,37.0,7622.0,9600,31341,1337.800011,227311.8273,2018,5,4482.6848991309
100,394355,29,"Austin, TX",msa,TX,2018-09-30,0.02117842998,0.02429476205,2083.0,34.0,0.6070427117,0.2052562251,0.989581067,308632,362663.0,44.0,2000.0,2925,10101,1413.688093,316308.1201,2018,6,1264.4699684711
101,394357,63,"Bakersfield, CA",msa,CA,2018-09-30,0.02470330756,0.02926856813,778.0,39.0,0.4865876196,0.3305137016,0.9990319458,227071,259967.0,47.0,322.0,931,3127,1161.873093,221219.4788,2018,7,378.5651680488
102,394358,20,"Baltimore, MD",msa,MD,2018-09-30,0.02728822808,0.03179411365,3161.0,52.0,0.5005546236,0.2341638758,0.9966898974,277584,303300.0,50.0,2109.0,3733,13402,1449.63606,276518.8851,2018,8,1582.2531651996
103,394367,66,"Baton Rouge, LA",msa,LA,2018-09-30,0.02494213297,0.02955701797,806.0,,,,,189719,233750.0,,43.0,1092,5368,1210.966997,178220.6008,2018,9,
104,394388,51,"Birmingham, AL",msa,AL,2018-09-30,0.03023610067,0.03777008198,1380.0,40.0,0.5995346695,0.1791307832,0.9884358818,189269,223683.0,48.0,962.0,1633,6569,1086.089594,158113.3536,2018,10,827.35784391
105,394399,79,"Boise City, ID",msa,ID,2018-09-30,0.02106004638,0.02440511674,1200.0,,,,,268286,327584.0,29.0,439.0,1867,4467,1216.117857,301342.0648,2018,11,
106,394404,10,"Boston, MA",msa,MA,2018-09-30,0.02963462312,0.03361704303,4687.0,49.0,0.4476423672,0.4423888125,0.9992968409,433780,496267.0,30.0,3491.0,5746,15495,2443.516639,484878.498,2018,12,2098.0997750664
107,394415,60,"Bridgeport, CT",msa,CT,2018-09-30,0.0338348497,0.03833996482,938.0,54.0,0.7467610213,0.1474551989,0.9747151658,381515,647417.0,66.0,596.0,1158,6765,2091.942464,414048.2727,2018,13,700.4618379794
108,394425,50,"Buffalo, NY",msa,NY,2018-09-30,0.03967954873,0.04526702084,1072.0,62.0,0.4327903991,0.4731140399,1.000196194,157542,177567.0,38.0,1021.0,1321,3901,951.0872617,171296.57,2018,2,463.9513078352
109,394440,78,"Cape Coral, FL",msa,FL,2018-09-30,0.02271355063,0.02603167877,1503.0,44.0,0.7997056212,0.09092424447,0.96924531,228781,279900.0,85.0,1411.0,1905,10236,1332.147068,238247.8324,2018,14,1201.9575486636
110,394457,75,"Charleston, SC",msa,SC,2018-09-30,0.01924097324,0.02285448002,1068.0,48.0,0.6217760551,0.1674951324,0.9871699856,253217,365342.0,54.0,993.0,1349,5948,1350.226316,267893.26,2018,15,664.0568268468
111,394458,23,"Charlotte, NC",msa,NC,2018-09-30,0.0235703873,0.02730366604,3386.0,39.0,0.5801596839,0.2608798873,0.9895259458,226112,304500.0,37.0,2963.0,3804,11814,1290.139547,223806.1341,2018,16,1964.4206896853998
112,394463,3,"Chicago, IL",msa,IL,2018-09-30,0.02568184289,0.02896741642,10781.0,49.0,0.7022186635,0.1904786137,0.9792374543,222986,296117.0,49.0,9426.0,12723,49630,1654.714339,226853.0337,2018,17,7570.619411193499
113,394466,28,"Cincinnati, OH",msa,OH,2018-09-30,0.03093375429,0.03556739885,2703.0,44.0,0.6047066664,0.2110364505,0.986326338,168500,221600.0,33.0,2273.0,2998,8964,1072.536863,178550.6226,2018,1,1634.5221192792
